identifiant GO	définition	occurence	pvalue
GO:0003867	F:4-aminobutyrate transaminase activity	{'GO:0000006': 0}	1.0
GO:0003870	F:5-aminolevulinate synthase activity	{'GO:0000006': 0}	1.0
GO:0003871	F:5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	{'GO:0000006': 0}	1.0
GO:0003872	F:6-phosphofructokinase activity	{'GO:0000006': 0}	1.0
GO:0003879	F:ATP phosphoribosyltransferase activity	{'GO:0000006': 0}	1.0
GO:0003882	F:CDP-diacylglycerol-serine O-phosphatidyltransferase activity	{'GO:0000006': 0}	1.0
GO:0003883	F:CTP synthase activity	{'GO:0000006': 0}	1.0
GO:0003886	F:DNA (cytosine-5-)-methyltransferase activity	{'GO:0000006': 0}	1.0
GO:0003887	F:DNA-directed DNA polymerase activity	{'GO:0000006': 0}	1.0
GO:0003896	F:DNA primase activity	{'GO:0000006': 0}	1.0
GO:0003899	F:DNA-directed 5'-3' RNA polymerase activity	{'GO:0000006': 0}	1.0
GO:0003904	F:deoxyribodipyrimidine photo-lyase activity	{'GO:0000006': 0}	1.0
GO:0003905	F:alkylbase DNA N-glycosylase activity	{'GO:0000006': 0}	1.0
GO:0003906	F:DNA-(apurinic or apyrimidinic site) endonuclease activity	{'GO:0000006': 0}	1.0
GO:0003908	F:methylated-DNA-[protein]-cysteine S-methyltransferase activity	{'GO:0000006': 0}	1.0
GO:0003909	F:DNA ligase activity	{'GO:0000006': 0}	1.0
GO:0003911	F:DNA ligase (NAD+) activity	{'GO:0000006': 0}	1.0
GO:0003916	F:DNA topoisomerase activity	{'GO:0000006': 0}	1.0
GO:0003917	F:DNA topoisomerase type I (single strand cut, ATP-independent) activity	{'GO:0000006': 0}	1.0
GO:0003918	F:DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	{'GO:0000006': 0}	1.0
GO:0003919	F:FMN adenylyltransferase activity	{'GO:0000006': 0}	1.0
GO:0003920	F:GMP reductase activity	{'GO:0000006': 0}	1.0
GO:0003921	F:GMP synthase activity	{'GO:0000006': 0}	1.0
GO:0003922	F:GMP synthase (glutamine-hydrolyzing) activity	{'GO:0000006': 0}	1.0
GO:0003924	F:GTPase activity	{'GO:0000006': 0}	1.0
GO:0003934	F:GTP cyclohydrolase I activity	{'GO:0000006': 0}	1.0
GO:0003935	F:GTP cyclohydrolase II activity	{'GO:0000006': 0}	1.0
GO:0003937	F:IMP cyclohydrolase activity	{'GO:0000006': 0}	1.0
GO:0003938	F:IMP dehydrogenase activity	{'GO:0000006': 0}	1.0
GO:0003941	F:L-serine ammonia-lyase activity	{'GO:0000006': 0}	1.0
GO:0003942	F:N-acetyl-gamma-glutamyl-phosphate reductase activity	{'GO:0000006': 0}	1.0
GO:0003949	F:1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	{'GO:0000006': 0}	1.0
GO:0003950	F:NAD+ ADP-ribosyltransferase activity	{'GO:0000006': 0}	1.0
GO:0003951	F:NAD+ kinase activity	{'GO:0000006': 0}	1.0
GO:0003952	F:NAD+ synthase (glutamine-hydrolyzing) activity	{'GO:0000006': 0}	1.0
GO:0003954	F:NADH dehydrogenase activity	{'GO:0000006': 0}	1.0
GO:0003955	F:NAD(P)H dehydrogenase (quinone) activity	{'GO:0000006': 0}	1.0
GO:0003957	F:NAD(P)+ transhydrogenase (B-specific) activity	{'GO:0000006': 0}	1.0
GO:0003960	F:NADPH:quinone reductase activity	{'GO:0000006': 0}	1.0
GO:0003962	F:cystathionine gamma-synthase activity	{'GO:0000006': 0}	1.0
GO:0003963	F:RNA-3'-phosphate cyclase activity	{'GO:0000006': 0}	1.0
GO:0003973	F:(S)-2-hydroxy-acid oxidase activity	{'GO:0000006': 0}	1.0
GO:0003977	F:UDP-N-acetylglucosamine diphosphorylase activity	{'GO:0000006': 0}	1.0
GO:0003978	F:UDP-glucose 4-epimerase activity	{'GO:0000006': 0}	1.0
GO:0003979	F:UDP-glucose 6-dehydrogenase activity	{'GO:0000006': 0}	1.0
GO:0003983	F:UTP:glucose-1-phosphate uridylyltransferase activity	{'GO:0000006': 0}	1.0
GO:0003984	F:acetolactate synthase activity	{'GO:0000006': 0}	1.0
GO:0003985	F:acetyl-CoA C-acetyltransferase activity	{'GO:0000006': 0}	1.0
GO:0003986	F:acetyl-CoA hydrolase activity	{'GO:0000006': 0}	1.0
GO:0003987	F:acetate-CoA ligase activity	{'GO:0000006': 0}	1.0
GO:0003988	F:acetyl-CoA C-acyltransferase activity	{'GO:0000006': 0}	1.0
GO:0003989	F:acetyl-CoA carboxylase activity	{'GO:0000006': 0}	1.0
GO:0003991	F:acetylglutamate kinase activity	{'GO:0000006': 0}	1.0
GO:0003992	F:N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity	{'GO:0000006': 0}	1.0
GO:0003993	F:acid phosphatase activity	{'GO:0000006': 0}	1.0
GO:0003994	F:aconitate hydratase activity	{'GO:0000006': 0}	1.0
GO:0003995	F:acyl-CoA dehydrogenase activity	{'GO:0000006': 0}	1.0
GO:0003996	F:acyl-CoA ligase activity	{'GO:0000006': 0}	1.0
GO:0003998	F:acylphosphatase activity	{'GO:0000006': 0}	1.0
GO:0003999	F:adenine phosphoribosyltransferase activity	{'GO:0000006': 0}	1.0
GO:0004000	F:adenosine deaminase activity	{'GO:0000006': 0}	1.0
GO:0004014	F:adenosylmethionine decarboxylase activity	{'GO:0000006': 0}	1.0
GO:0004015	F:adenosylmethionine-8-amino-7-oxononanoate transaminase activity	{'GO:0000006': 0}	1.0
GO:0004016	F:adenylate cyclase activity	{'GO:0000006': 0}	1.0
GO:0004017	F:adenylate kinase activity	{'GO:0000006': 0}	1.0
GO:0004018	F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	{'GO:0000006': 0}	1.0
GO:0004019	F:adenylosuccinate synthase activity	{'GO:0000006': 0}	1.0
GO:0004020	F:adenylylsulfate kinase activity	{'GO:0000006': 0}	1.0
GO:0004021	F:L-alanine:2-oxoglutarate aminotransferase activity	{'GO:0000006': 0}	1.0
GO:0004022	F:alcohol dehydrogenase (NAD+) activity	{'GO:0000006': 0}	1.0
GO:0004024	F:alcohol dehydrogenase activity, zinc-dependent	{'GO:0000006': 0}	1.0
GO:0004029	F:aldehyde dehydrogenase (NAD+) activity	{'GO:0000006': 0}	1.0
GO:0004030	F:aldehyde dehydrogenase [NAD(P)+] activity	{'GO:0000006': 0}	1.0
GO:0004032	F:alditol:NADP+ 1-oxidoreductase activity	{'GO:0000006': 0}	1.0
GO:0004033	F:aldo-keto reductase (NADP) activity	{'GO:0000006': 0}	1.0
GO:0004034	F:aldose 1-epimerase activity	{'GO:0000006': 0}	1.0
GO:0004035	F:alkaline phosphatase activity	{'GO:0000006': 0}	1.0
GO:0004038	F:allantoinase activity	{'GO:0000006': 0}	1.0
GO:0004040	F:amidase activity	{'GO:0000006': 0}	1.0
GO:0004042	F:acetyl-CoA:L-glutamate N-acetyltransferase activity	{'GO:0000006': 0}	1.0
GO:0004044	F:amidophosphoribosyltransferase activity	{'GO:0000006': 0}	1.0
GO:0004045	F:aminoacyl-tRNA hydrolase activity	{'GO:0000006': 0}	1.0
GO:0004047	F:aminomethyltransferase activity	{'GO:0000006': 0}	1.0
GO:0004048	F:anthranilate phosphoribosyltransferase activity	{'GO:0000006': 0}	1.0
GO:0004049	F:anthranilate synthase activity	{'GO:0000006': 0}	1.0
GO:0004055	F:argininosuccinate synthase activity	{'GO:0000006': 0}	1.0
GO:0004056	F:argininosuccinate lyase activity	{'GO:0000006': 0}	1.0
GO:0004060	F:arylamine N-acetyltransferase activity	{'GO:0000006': 0}	1.0
GO:0004064	F:arylesterase activity	{'GO:0000006': 0}	1.0
GO:0004065	F:arylsulfatase activity	{'GO:0000006': 0}	1.0
